"address","borough","date","status","resolution","zip_code","latitude","longitude","closed_date"
"5002 3 AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.647592","-74.014688",NA
"2187 BERGEN STREET","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11233","40.673797","-73.907852",NA
"795 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Site to be cleaned.","11218","40.637960","-73.968404",NA
"992 CONEY ISLAND AVENUE","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11230","40.633387","-73.967106",NA
"141 ESSEX STREET","MANHATTAN",2022-01-06,"Open","Graffiti Reported","10002","40.720318","-73.987305",NA
"315 53 STREET","BROOKLYN",2022-01-06,"Open","Graffiti Reported","11220","40.645633","-74.015708",NA
"67 EAST    7 STREET","MANHATTAN",2022-01-05,"Open","Graffiti Reported","10003","40.727498","-73.986965",NA
"35 GRAHAM AVENUE","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11206","40.702593","-73.942432",NA
"8516 23 AVENUE","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.601030","-73.991145",NA
"810 BLAKE AVENUE","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11207","40.668737","-73.888685",NA
"37 KENMARE STREET","MANHATTAN",2022-01-05,"Open","Site to be cleaned.","10012","40.720747","-73.995296",NA
"8529 3 AVENUE","BROOKLYN",2022-01-05,"Open","Property Research Required","11209","40.624023","-74.030818",NA
"2377 86 STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11214","40.599512","-73.989809",NA
"2502 85 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.598411","-73.986396",NA
"2363 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.599628","-73.990004",NA
"8512 19 AVENUE","BROOKLYN",2022-01-05,"Open","Property Research Required","11214","40.606400","-73.999986",NA
"1883 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.606131","-74.000763",NA
"6815 3 AVENUE","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11220","40.636282","-74.025808",NA
"469 VERMONT STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11207","40.667778","-73.892821",NA
"1947 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.605228","-73.999265",NA
"1964 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.604967","-73.998862",NA
"2478 86 STREET","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11214","40.598195","-73.987660",NA
"514 SUTTER AVENUE","BROOKLYN",2022-01-05,"Open","Graffiti Reported","11207","40.668657","-73.900000",NA
"134-23 NORTHERN BOULEVARD","QUEENS",2022-01-05,"Open","Site to be cleaned.","11354","40.762756","-73.833864",NA
"8526 3 AVENUE","BROOKLYN",2022-01-05,"Open","Property Research Required","11209","40.624039","-74.030836",NA
"2439 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.598593","-73.988293",NA
"2029 86 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.604083","-73.997364",NA
"6 BAY   23 STREET","BROOKLYN",2022-01-05,"Open","Site to be cleaned.","11214","40.604703","-73.999377",NA
