"address","borough","date","status","resolution","zip_code","latitude","longitude","closed_date"
"4123 7 AVENUE","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11232","40.647308","-74.000836",NA
"5102 8 AVENUE","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11220","40.640468","-74.004400",NA
"7314 THIRD AVENUE","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11209","40.632670","-74.027309",NA
"6724 BAY PARKWAY","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11204","40.612212","-73.983148",NA
"4722 8 AVENUE","BROOKLYN",2021-12-08,"Open","Graffiti Reported","11220","40.642631","-74.002148",NA
"5111 8 AVENUE","BROOKLYN",2021-12-08,"Open","Graffiti Reported","11220","40.640427","-74.004414",NA
"21-45 35 STREET","QUEENS",2021-12-08,"Open","Graffiti Reported","11105","40.775838","-73.907703",NA
"6809 BAY PARKWAY","BROOKLYN",2021-12-08,"Open","Property Research Required","11204","40.611682","-73.983670",NA
"774 43 STREET","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11232","40.645463","-74.000350",NA
"4901 8 AVENUE","BROOKLYN",2021-12-08,"Open","Property Research Required","11220","40.641588","-74.003203",NA
"4906 7 AVENUE","BROOKLYN",2021-12-08,"Open","Property Research Required","11220","40.642902","-74.005452",NA
"7018 18 AVENUE","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11204","40.616108","-73.993246",NA
"313 42 STREET","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11232","40.651815","-74.009334",NA
"838 41 STREET","BROOKLYN",2021-12-08,"Open","Graffiti Reported","11232","40.645592","-73.997546",NA
"773 52 STREET","BROOKLYN",2021-12-08,"Open","Graffiti Reported","11220","40.640451","-74.005610",NA
"4802 7 AVENUE","BROOKLYN",2021-12-08,"Open","Site downloaded for cleaning","11220","40.643479","-74.004850",NA
"6822 18 AVENUE","BROOKLYN",2021-12-08,"Open","Graffiti Reported","11204","40.617225","-73.992119",NA
"2083 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.854567","-73.906672",NA
"1714 MERMAID AVENUE","BROOKLYN",2021-12-28,"Open","Graffiti Reported","11224","40.576596","-73.984982",NA
"121 EAST  184 STREET","BRONX",2021-12-28,"Open","Site to be cleaned.","10468","40.859782","-73.900194",NA
"377 WEST  125 STREET","MANHATTAN",2021-12-28,"Open","Graffiti Reported","10027","40.811092","-73.953334",NA
"7 WEST BURNSIDE AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.853824","-73.907750",NA
"48-51 36 STREET","QUEENS",2021-12-28,"Open","Site to be cleaned.","11101","40.739063","-73.929947",NA
"1760 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.847990","-73.912132",NA
"4809 8 AVENUE","BROOKLYN",2021-12-28,"Open","Site to be cleaned.","11220","40.642115","-74.002656",NA
"2720 MERMAID AVENUE","BROOKLYN",2021-12-28,"Open","Site to be cleaned.","11224","40.575652","-73.993567",NA
"2409 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10468","40.861636","-73.901930",NA
"21-23 49 AVENUE","QUEENS",2021-12-28,"Open","Graffiti Reported","11101","40.742405","-73.948572",NA
"555 86 STREET","BROOKLYN",2021-12-28,"Open","Property Research Required","11209","40.620777","-74.025013",NA
"1995 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.852826","-73.908262",NA
"2374 JEROME AVENUE","BRONX",2021-12-28,"Open","Graffiti Reported","10468","40.860950","-73.902329",NA
"3403 BROADWAY","MANHATTAN",2021-12-28,"Open","Site to be cleaned.","10031","40.822164","-73.953576",NA
"1768 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.848143","-73.912023",NA
"1690 JEROME AVENUE","BRONX",2021-12-28,"Open","Site to be cleaned.","10453","40.846456","-73.913226",NA
"300 EAST   56 STREET","MANHATTAN",2021-12-27,"Open","Graffiti Reported","10022","40.758477","-73.965434",NA
"114 WYCKOFF AVENUE","BROOKLYN",2021-12-27,"Open","Site to be cleaned.","11237","40.703783","-73.918403",NA
"146 WYCKOFF AVENUE","BROOKLYN",2021-12-27,"Open","Site to be cleaned.","11237","40.702879","-73.916951",NA
"70 EAST  184 STREET","BRONX",2021-12-27,"Open","Site to be cleaned.","10468","40.860101","-73.901177",NA
"473 CENTRAL AVENUE","BROOKLYN",2021-12-27,"Open","Site to be cleaned.","11221","40.691552","-73.913658",NA
"934 ATLANTIC AVENUE","BROOKLYN",2021-12-27,"Open","Graffiti Reported","11238","40.680915","-73.963499",NA
"183 THOMPSON STREET","MANHATTAN",2021-12-26,"Open","Graffiti Reported","10012","40.727922","-74.000112",NA
"210 WEST  125 STREET","MANHATTAN",2021-12-26,"Open","Site to be cleaned.","10027","40.809171","-73.948816",NA
"8815 FLATLANDS AVENUE","BROOKLYN",2021-12-26,"Open","Site to be cleaned.","11236","40.639396","-73.907283",NA
"57 DELANCEY STREET","MANHATTAN",2021-12-26,"Open","Site to be cleaned.","10002","40.719416","-73.991089",NA
"184 THOMPSON STREET","MANHATTAN",2021-12-26,"Open","Graffiti Reported","10012","40.727988","-74.000032",NA
"136-15 32 AVENUE","QUEENS",2021-12-25,"Open","Site to be cleaned.","11354","40.767823","-73.831660",NA
"1685 AMSTERDAM AVENUE","MANHATTAN",2021-12-25,"Open","Site to be cleaned.","10031","40.824154","-73.948382",NA
"18 STANHOPE STREET","BROOKLYN",2021-12-24,"Open","Graffiti Reported","11221","40.694802","-73.926211",NA
"205 AVENUE U","BROOKLYN",2021-12-23,"Open","Graffiti Reported","11223","40.596642","-73.976371",NA
"2070 BERGEN AVENUE","BROOKLYN",2021-12-23,"Open","Graffiti Reported","11234","40.622840","-73.904550",NA
"109 EAST TREMONT AVENUE","BRONX",2021-12-22,"Open","Site to be cleaned.","10453","40.850673","-73.907372",NA
"37-25 58 STREET","QUEENS",2021-12-22,"Open","Site to be cleaned.","11377","40.749588","-73.904582",NA
"700 NOSTRAND AVENUE","BROOKLYN",2021-12-22,"Open","Graffiti Reported","11216","40.674668","-73.950059",NA
"37-19 58 STREET","QUEENS",2021-12-22,"Open","Site to be cleaned.","11377","40.749662","-73.904549",NA
"71-34 MYRTLE AVENUE","QUEENS",2021-12-22,"Open","Site to be cleaned.","11385","40.702082","-73.878971",NA
"663 NOSTRAND AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11216","40.674588","-73.950044",NA
"1173 ST JOHNS PLACE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11213","40.671062","-73.939600",NA
"1447 BEDFORD AVENUE","BROOKLYN",2021-12-22,"Open","Graffiti Reported","11216","40.673808","-73.953924",NA
"58-20 FRANCIS LEWIS BOULEVARD","QUEENS",2021-12-22,"Open","Site to be cleaned.","11364","40.744964","-73.776527",NA
"182 EAST    7 STREET","MANHATTAN",2021-12-22,"Open","Graffiti Reported","10009","40.725214","-73.981564",NA
"1889 WEST   10 STREET","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11223","40.601252","-73.982254",NA
"99 EAST  184 STREET","BRONX",2021-12-22,"Open","Site to be cleaned.","10468","40.859895","-73.900519",NA
"37-42 58 STREET","QUEENS",2021-12-22,"Open","Graffiti Reported","11377","40.749363","-73.904705",NA
"14 EAST  183 STREET","BRONX",2021-12-22,"Open","Graffiti Reported","10453","40.858594","-73.903384",NA
"714 SAINT MARKS AVENUE","BROOKLYN",2021-12-22,"Open","Graffiti Reported","11216","40.675162","-73.949370",NA
"118 KINGSTON AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11213","40.675759","-73.941608",NA
"74 KINGSTON AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11213","40.677307","-73.941462",NA
"105 EAST CLARKE PLACE","BRONX",2021-12-22,"Open","Site to be cleaned.","10452","40.837536","-73.916815",NA
"2241 CRESTON AVENUE","BRONX",2021-12-22,"Open","Graffiti Reported","10453","40.856753","-73.901558",NA
"141 ROGERS AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11216","40.672814","-73.952998",NA
"49 EAST  167 STREET","BRONX",2021-12-22,"Open","Site to be cleaned.","10452","40.835562","-73.920775",NA
"118 EAST  183 STREET","BRONX",2021-12-22,"Open","Site to be cleaned.","10453","40.857947","-73.901516",NA
"83 EAST  184 STREET","BRONX",2021-12-22,"Open","Site to be cleaned.","10468","40.860052","-73.900978",NA
"96 KINGSTON AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11213","40.676305","-73.941557",NA
"1575 WALTON AVENUE","BRONX",2021-12-22,"Open","Graffiti Reported","10452","40.843196","-73.913360",NA
"736 NOSTRAND AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11216","40.673559","-73.950161",NA
"1170 PARK PLACE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11213","40.672804","-73.938834",NA
"712 NOSTRAND AVENUE","BROOKLYN",2021-12-22,"Open","Site to be cleaned.","11216","40.674182","-73.950102",NA
"1154 WHITEPLAINS ROAD","BRONX",2021-12-22,"Open","Graffiti Reported","10472","40.829536","-73.861170",NA
"34-27 56 STREET","QUEENS",2021-12-22,"Open","Site to be cleaned.","11377","40.752256","-73.905375",NA
"110 EAST  181 STREET","BRONX",2021-12-22,"Open","Site to be cleaned.","10453","40.854880","-73.903585",NA
"2062 MORRIS AVENUE","BRONX",2021-12-22,"Open","Graffiti Reported","10453","40.853594","-73.905184",NA
"1049 LOWELL STREET","BRONX",2021-12-21,"Open","Site to be cleaned.","10459","40.825994","-73.886977",NA
"3024 CHURCH AVENUE","BROOKLYN",2021-12-21,"Open","Site to be cleaned.","11226","40.650816","-73.949259",NA
"1502 8 AVENUE","BROOKLYN",2021-12-21,"Open","Graffiti Reported","11215","40.662049","-73.982320",NA
"3397 BROADWAY","MANHATTAN",2021-12-21,"Open","Graffiti Reported","10031","40.821879","-73.953785",NA
"58-14 59 AVENUE","QUEENS",2021-12-21,"Open","Graffiti Reported","11378","40.718942","-73.910250",NA
"504 46 STREET","BROOKLYN",2021-12-21,"Open","Site to be cleaned.","11220","40.647102","-74.007604",NA
"87-19 88 AVENUE","QUEENS",2021-12-21,"Open","Graffiti Reported","11421","40.691074","-73.856407",NA
"2258 WEBSTER AVENUE","BRONX",2021-12-20,"Open","Site to be cleaned.","10457","40.855650","-73.895960",NA
"51-11 58 PLACE","QUEENS",2021-12-20,"Open","Site to be cleaned.","11377","40.736171","-73.907953",NA
"58-50 52 AVENUE","QUEENS",2021-12-20,"Open","Graffiti Reported","11377","40.735181","-73.907832",NA
"1005 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11218","40.646676","-73.970148",NA
"2008 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11226","40.650101","-73.960791",NA
"178 ALBANY AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11213","40.674451","-73.938919",NA
"2398 GRAND CONCOURSE","BRONX",2021-12-20,"Open","Site to be cleaned.","10458","40.859940","-73.898487",NA
"538 LORIMER STREET","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11211","40.713018","-73.949186",NA
"420 LENOX AVENUE","MANHATTAN",2021-12-20,"Open","Graffiti Reported","10037","40.811658","-73.942641",NA
"56 WEST  126 STREET","MANHATTAN",2021-12-20,"Open","Graffiti Reported","10027","40.807802","-73.943486",NA
"2165 GRAND CONCOURSE","BRONX",2021-12-20,"Open","Site to be cleaned.","10453","40.854939","-73.901593",NA
"635 ZEREGA AVENUE","BRONX",2021-12-20,"Open","Site to be cleaned.","10473","40.820663","-73.842123",NA
"2249 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11226","40.650443","-73.957785",NA
"1990 WEBSTER AVENUE","BRONX",2021-12-20,"Open","Site to be cleaned.","10457","40.849862","-73.899670",NA
"2435 GRAND CONCOURSE","BRONX",2021-12-20,"Open","Site to be cleaned.","10468","40.861018","-73.897929",NA
"58-04 HOFFMAN DRIVE","QUEENS",2021-12-20,"Open","Property Research Required","11373","40.733380","-73.873011",NA
"2280 WEBSTER AVENUE","BRONX",2021-12-20,"Open","Graffiti Reported","10457","40.856119","-73.895652",NA
"44-11 11 STREET","QUEENS",2021-12-20,"Open","Site to be cleaned.","11101","40.749682","-73.949274",NA
"1029 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11218","40.646744","-73.969975",NA
"724 FLATBUSH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11226","40.655513","-73.959847",NA
"43-45 9 STREET","QUEENS",2021-12-20,"Open","Site to be cleaned.","11101","40.751494","-73.950543",NA
"1615 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11226","40.648820","-73.964677",NA
"2302 VALENTINE AVENUE","BRONX",2021-12-20,"Open","Site to be cleaned.","10458","40.857016","-73.898072",NA
"2356 GRAND CONCOURSE","BRONX",2021-12-20,"Open","Site to be cleaned.","10458","40.858892","-73.899075",NA
"2 WEST  126 STREET","MANHATTAN",2021-12-20,"Open","Site to be cleaned.","10027","40.807283","-73.942247",NA
"374 RALPH AVENUE","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11233","40.676014","-73.921923",NA
"1887 WEBSTER AVENUE","BRONX",2021-12-20,"Open","Site to be cleaned.","10457","40.847393","-73.901138",NA
"2230 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11226","40.650416","-73.957969",NA
"1111 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11218","40.647076","-73.969117",NA
"332 EAST GUN HILL ROAD","BRONX",2021-12-20,"Open","Site to be cleaned.","10467","40.878820","-73.873247",NA
"2421 GRANDCONCOURSE","BRONX",2021-12-20,"Open","Site to be cleaned.","10468","40.860683","-73.898110",NA
"1217 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11218","40.647435","-73.968202",NA
"286 EAST  174 STREET","BRONX",2021-12-20,"Open","Site to be cleaned.","10457","40.844605","-73.905262",NA
"2252 WEBSTER AVENUE","BRONX",2021-12-20,"Open","Graffiti Reported","10457","40.855530","-73.896036",NA
"2128 CATON AVENUE","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11226","40.652818","-73.959622",NA
"1628 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11226","40.648842","-73.964576",NA
"2845 CONEY ISLAND AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11235","40.587028","-73.960328",NA
"1101 CHURCH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11218","40.647051","-73.969182",NA
"1129 MCDONALD AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11230","40.625443","-73.976127",NA
"2449 CRESTON AVENUE","BRONX",2021-12-20,"Open","Site to be cleaned.","10468","40.861559","-73.898799",NA
"400 EAST TREMONT AVENUE","BRONX",2021-12-20,"Open","Graffiti Reported","10457","40.847654","-73.900769",NA
"2606 EAST   11 STREET","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11235","40.587179","-73.959341",NA
"617 LORIMER STREET","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11211","40.715356","-73.949592",NA
"2608 EAST   11 STREET","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11235","40.587138","-73.959338",NA
"62-11 35 AVENUE","QUEENS",2021-12-20,"Open","Site to be cleaned.","11377","40.750253","-73.899344",NA
"379 UNION AVENUE","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11211","40.711904","-73.951283",NA
"10-17 44 AVENUE","QUEENS",2021-12-20,"Open","Site to be cleaned.","11101","40.750187","-73.950157",NA
"52 BRIGHTON    1 PLACE","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11235","40.577577","-73.966284",NA
"663 FLATBUSH AVENUE","BROOKLYN",2021-12-20,"Open","Site to be cleaned.","11225","40.657108","-73.960203",NA
"64-19 BROADWAY","QUEENS",2021-12-20,"Open","Graffiti Reported","11377","40.749563","-73.898179",NA
"58-16 LAUREL HILL BOULEVARD","QUEENS",2021-12-20,"Open","Site to be cleaned.","11377","40.736334","-73.908700",NA
"2426 GRAND CONCOURSE","BRONX",2021-12-20,"Open","Site to be cleaned.","10458","40.860428","-73.898226",NA
"38-02 61 STREET","QUEENS",2021-12-20,"Open","Graffiti Reported","11377","40.747602","-73.902509",NA
"1263 ST JOHNS PLACE","BROOKLYN",2021-12-20,"Open","Graffiti Reported","11213","40.670873","-73.936075",NA
"2345 GRANDCONCOURSE","BRONX",2021-12-20,"Open","Graffiti Reported","10468","40.858807","-73.899151",NA
"109-24 203 STREET","QUEENS",2021-12-20,"Open","Graffiti Reported","11412","40.707240","-73.755131",NA
"575 HALSEY STREET","BROOKLYN",2021-12-19,"Open","Site to be cleaned.","11233","40.684111","-73.929878",NA
"6822 3 AVENUE","BROOKLYN",2021-12-19,"Open","Graffiti Reported","11220","40.636271","-74.025837",NA
"32 CORNELIA STREET","MANHATTAN",2021-12-19,"Open","Site to be cleaned.","10014","40.731380","-74.002241",NA
"44 STANHOPE STREET","BROOKLYN",2021-12-19,"Open","Graffiti Reported","11221","40.695784","-73.925250",NA
"1073 FLATBUSH AVENUE","BROOKLYN",2021-12-19,"Open","Site to be cleaned.","11226","40.644462","-73.957951",NA
"148 KINGSLAND AVENUE","BROOKLYN",2021-12-19,"Open","Site to be cleaned.","11222","40.721498","-73.940961",NA
"212 EAST  111 STREET","MANHATTAN",2021-12-19,"Open","Graffiti Reported","10029","40.794528","-73.941825",NA
"366 MACDONOUGH STREET","BROOKLYN",2021-12-19,"Open","Site to be cleaned.","11233","40.682290","-73.932545",NA
"6511 FORT HAMILTON PARKWAY","BROOKLYN",2021-12-19,"Open","Graffiti Reported","11219","40.630512","-74.009389",NA
"222 SMITH STREET","BROOKLYN",2021-12-19,"Open","Graffiti Reported","11231","40.684088","-73.992266",NA
"454 GOWER STREET","STATEN ISLAND",2021-12-18,"Open","Graffiti Reported","10314","40.600995","-74.123327",NA
"1097 WILLOUGHBY AVENUE","BROOKLYN",2021-12-18,"Open","Graffiti Reported","11221","40.700695","-73.926312",NA
"2618 DECATUR AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.863281","-73.890333",NA
"2711 BRIGGS AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.866389","-73.891648",NA
"2627 WEBSTER AVENUE","BRONX",2021-12-17,"Open","Graffiti Reported","10458","40.863316","-73.889209",NA
"707 EAST  235 STREET","BRONX",2021-12-17,"Open","Site to be cleaned.","10466","40.894750","-73.856140",NA
"2924 AVENUE I","BROOKLYN",2021-12-17,"Open","Site to be cleaned.","11210","40.629085","-73.948000",NA
"4391 WHITE PLAINS ROAD","BRONX",2021-12-17,"Open","Site to be cleaned.","10466","40.898096","-73.854592",NA
"2809 WEBSTER AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.866492","-73.884970",NA
"2573 DECATUR AVENUE","BRONX",2021-12-17,"Open","Graffiti Reported","10458","40.862683","-73.890949",NA
"333 KNICKERBOCKER AVENUE","BROOKLYN",2021-12-17,"Open","Site to be cleaned.","11237","40.701200","-73.922536",NA
"604 CASTLE HILL AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10473","40.819186","-73.848055",NA
"2600 DECATUR AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.863029","-73.890572",NA
"1101 CASTLE HILL AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10472","40.829819","-73.850557",NA
"1002 CASTLE HILL AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10472","40.827744","-73.850056",NA
"2765 WEBSTER AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.865750","-73.886251",NA
"778 CASTLEHILL AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10473","40.822815","-73.848903",NA
"1981 CLINTON AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10457","40.845596","-73.889513",NA
"117-01 ATLANTIC AVENUE","QUEENS",2021-12-17,"Open","Graffiti Reported","11418","40.693637","-73.829582",NA
"2627 MARION AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.864341","-73.891102",NA
"357 EAST  195 STREET","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.864916","-73.889231",NA
"2709 BRIGGS AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.866359","-73.891673",NA
"1105 CASTLEHILL AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10472","40.829896","-73.850571",NA
"2713 BRIGGS AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.866419","-73.891622",NA
"307 HUMBOLDT STREET","BROOKLYN",2021-12-17,"Open","Site to be cleaned.","11211","40.712424","-73.942344",NA
"2214 LIGHT STREET","BRONX",2021-12-17,"Open","Graffiti Reported","10466","40.887816","-73.831544",NA
"652 HUDSON STREET","MANHATTAN",2021-12-17,"Open","Site to be cleaned.","10014","40.739502","-74.005366",NA
"4251 WHITEPLAINS ROAD","BRONX",2021-12-17,"Open","Site to be cleaned.","10466","40.894706","-73.856665",NA
"2595 WEBSTER AVENUE","BRONX",2021-12-17,"Open","Site to be cleaned.","10458","40.862718","-73.889984",NA
"760 MACON STREET","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11233","40.684396","-73.920698",NA
"4116 WHITE PLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10466","40.891091","-73.858640",NA
"4168 WHITE PLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10466","40.892594","-73.857809",NA
"2649 JEROME AVENUE","BRONX",2021-12-16,"Open","Site to be cleaned.","10468","40.866993","-73.897786",NA
"2069 STORY AVENUE","BRONX",2021-12-16,"Open","Graffiti Reported","10473","40.824902","-73.853708",NA
"67 CHRYSTIE STREET","MANHATTAN",2021-12-16,"Open","Site to be cleaned.","10002","40.716654","-73.994629",NA
"835 BROADWAY","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11206","40.699138","-73.939073",NA
"1815 RANDALL AVENUE","BRONX",2021-12-16,"Open","Site to be cleaned.","10473","40.817109","-73.862266",NA
"1963 86 STREET","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11214","40.604964","-73.998826",NA
"2952 FENTON AVENUE","BRONX",2021-12-16,"Open","Graffiti Reported","10469","40.868273","-73.844255",NA
"8501 20 AVENUE","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11214","40.605115","-73.997717",NA
"71 CHRYSTIE STREET","MANHATTAN",2021-12-16,"Open","Site to be cleaned.","10002","40.716751","-73.994582",NA
"1698 86 STREET","BROOKLYN",2021-12-16,"Open","Property Research Required","11214","40.608664","-74.004985",NA
"3971 WHITE PLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10466","40.887660","-73.860546",NA
"4049 WHITE PLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10466","40.889824","-73.859366",NA
"2625 JEROME AVENUE","BRONX",2021-12-16,"Open","Graffiti Reported","10468","40.866346","-73.898289",NA
"701 EAST  219 STREET","BRONX",2021-12-16,"Open","Site to be cleaned.","10467","40.883446","-73.862370",NA
"7502 18 AVENUE","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11214","40.613292","-73.996096",NA
"4127 WHITE PLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10466","40.891489","-73.858444",NA
"102-01 47 AVENUE","QUEENS",2021-12-16,"Open","Site to be cleaned.","11368","40.745169","-73.861451",NA
"94 ORCHARD STREET","MANHATTAN",2021-12-16,"Open","Site to be cleaned.","10002","40.718370","-73.990098",NA
"3722 WHITE PLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10467","40.882012","-73.863661",NA
"283 EAST KINGSBRIDGE ROAD","BRONX",2021-12-16,"Open","Graffiti Reported","10458","40.863554","-73.894230",NA
"3445A BOSTON ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10469","40.876247","-73.848829",NA
"1113 CHURCH AVENUE","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11218","40.647079","-73.969106",NA
"6815 BAY PARKWAY","BROOKLYN",2021-12-16,"Open","Property Research Required","11204","40.611479","-73.983883",NA
"1095 DEKALB AVENUE","BROOKLYN",2021-12-16,"Open","Graffiti Reported","11221","40.693644","-73.931711",NA
"4150 WHITEPLAINS ROAD","BRONX",2021-12-16,"Open","Graffiti Reported","10466","40.892147","-73.858059",NA
"63 WEST FORDHAM ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10468","40.862747","-73.903685",NA
"2614 JEROME AVENUE","BRONX",2021-12-16,"Open","Site to be cleaned.","10468","40.866834","-73.897884",NA
"236 WEST FORDHAM ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10468","40.861964","-73.910317",NA
"6811 BAY PARKWAY","BROOKLYN",2021-12-16,"Open","Property Research Required","11204","40.611622","-73.983735",NA
"6809 BAY PARKWAY","BROOKLYN",2021-12-16,"Open","Property Research Required","11204","40.611682","-73.983670",NA
"2639 JEROME AVENUE","BRONX",2021-12-16,"Open","Site to be cleaned.","10468","40.866560","-73.898119",NA
"294 TOMPKINS AVENUE","BROOKLYN",2021-12-16,"Open","Graffiti Reported","11216","40.687887","-73.944828",NA
"2451 UNIVERSITY AVENUE","BRONX",2021-12-16,"Open","Site to be cleaned.","10468","40.864278","-73.903987",NA
"166 ELDRIDGE STREET","MANHATTAN",2021-12-16,"Open","Graffiti Reported","10002","40.720066","-73.990978",NA
"1780 SEWARD AVENUE","BRONX",2021-12-16,"Open","Graffiti Reported","10473","40.819063","-73.863793",NA
"224-05 JAMAICA AVENUE","QUEENS",2021-12-16,"Open","Graffiti Reported","11428","40.721761","-73.730860",NA
"8501 21 AVENUE","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11214","40.603781","-73.995516",NA
"4033 LACONIA AVENUE","BRONX",2021-12-16,"Open","Graffiti Reported","10466","40.885926","-73.848163",NA
"161 CHRYSTIE STREET","MANHATTAN",2021-12-16,"Open","Site to be cleaned.","10002","40.720621","-73.992572",NA
"609 HERKIMER STREET","BROOKLYN",2021-12-16,"Open","Site to be cleaned.","11213","40.678752","-73.933208",NA
"41 WORTH STREET","MANHATTAN",2021-12-16,"Open","Graffiti Reported","10013","40.717464","-74.007078",NA
"2381 LAFAYETTE AVENUE","BRONX",2021-12-16,"Open","Graffiti Reported","10473","40.823934","-73.844074",NA
"1117 CHURCH AVENUE","BROOKLYN",2021-12-16,"Open","Graffiti Reported","11218","40.647090","-73.969081",NA
"4034 WHITEPLAINS ROAD","BRONX",2021-12-16,"Open","Site to be cleaned.","10466","40.889506","-73.859519",NA
"1804 RANDALL AVENUE","BRONX",2021-12-16,"Open","Site to be cleaned.","10473","40.817039","-73.862667",NA
"553 MILLER AVENUE","BROOKLYN",2021-12-15,"Open","Site to be cleaned.","11207","40.667221","-73.889819",NA
"90-01 ELMHURST AVENUE","QUEENS",2021-12-15,"Open","Graffiti Reported","11372","40.748586","-73.876183",NA
"7810 17 AVENUE","BROOKLYN",2021-12-15,"Open","Graffiti Reported","11214","40.612993","-74.000295",NA
"152 EAST   46 STREET","MANHATTAN",2021-12-15,"Open","Graffiti Reported","10017","40.753706","-73.973529",NA
"62 SOUTH    6 STREET","BROOKLYN",2021-12-15,"Open","Site to be cleaned.","11249","40.711264","-73.966141",NA
"6023 5 AVENUE","BROOKLYN",2021-12-15,"Open","Property Research Required","11220","40.639298","-74.016344",NA
